#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  1.98562816080459476E-01  2.03629694546375313E-05  6.56554397007771370E-06
  2.01791479756564529E-01  2.09956808372830473E-05  6.88729063112086705E-06
  2.05020143432669527E-01  2.16363491209970799E-05  7.21919296752502984E-06
  2.08248807108774581E-01  2.22848683611470523E-05  7.56139383780533830E-06
  2.11477470784879606E-01  2.29411310864525070E-05  7.91403518027538405E-06
  2.14706134460984660E-01  2.36050283062036692E-05  8.27725799970424282E-06
  2.17934798137089658E-01  2.42764495175847383E-05  8.65120235402664610E-06
  2.21163461813194684E-01  2.49552827131013399E-05  9.03600734110698854E-06
  2.24392125489299737E-01  2.56414143881119260E-05  9.43181108555799855E-06
  2.27620789165404763E-01  2.63347295484626423E-05  9.83875072561478712E-06
  2.30849452841509817E-01  2.70351117182253397E-05  1.02569624000650549E-05
  2.34078116517614843E-01  2.77424429475383722E-05  1.06865812352362639E-05
  2.37306780193719841E-01  2.84566038205494723E-05  1.11277413320403787E-05
  2.40535443869824894E-01  2.91774734634608932E-05  1.15805757530771496E-05
  2.43764107545929920E-01  2.99049295526757724E-05  1.20452165097964760E-05
  2.46992771222034974E-01  3.06388483230456471E-05  1.25217945497207062E-05
  2.50221434898140027E-01  3.13791045762187230E-05  1.30104397437276062E-05
  2.53450098574245053E-01  3.21255716890883028E-05  1.35112808733947564E-05
  2.56678762250350023E-01  3.28781216223409750E-05  1.40244456184059922E-05
  2.59907425926455105E-01  3.36366249291043359E-05  1.45500605440208614E-05
  2.63136089602560130E-01  3.44009507636934312E-05  1.50882510886075069E-05
  2.66364753278665156E-01  3.51709668904558198E-05  1.56391415512400224E-05
  2.69593416954770182E-01  3.59465396927145206E-05  1.62028550793607705E-05
  2.72822080630875208E-01  3.67275341818087950E-05  1.67795136565085827E-05
  2.76050744306980234E-01  3.75138140062317144E-05  1.73692380901133249E-05
  2.79279407983085259E-01  3.83052414608644933E-05  1.79721479993577575E-05
  2.82508071659190341E-01  3.91016774963070724E-05  1.85883618031073091E-05
  2.85736735335295367E-01  3.99029817283042530E-05  1.92179967079084908E-05
  2.88965399011400392E-01  4.07090124472670866E-05  1.98611686960565730E-05
  2.92194062687505363E-01  4.15196266278890295E-05  2.05179925137334553E-05
  2.95422726363610444E-01  4.23346799388562271E-05  2.11885816592161716E-05
  2.98651390039715470E-01  4.31540267526515066E-05  2.18730483711567899E-05
  3.01880053715820496E-01  4.39775201554516726E-05  2.25715036169345469E-05
  3.05108717391925577E-01  4.48050119571175425E-05  2.32840570810807977E-05
  3.08337381068030603E-01  4.56363527012760913E-05  2.40108171537774293E-05
  3.11566044744135573E-01  4.64713916754942055E-05  2.47518909194294007E-05
  3.14794708420240599E-01  4.73099769215438339E-05  2.55073841453123327E-05
  3.18023372096345680E-01  4.81519552457575627E-05  2.62774012702954501E-05
  3.21252035772450706E-01  4.89971722294743739E-05  2.70620453936408483E-05
  3.24480699448555732E-01  4.98454722395749334E-05  2.78614182638796061E-05
  3.27709363124660757E-01  5.06966984391060403E-05  2.86756202677655139E-05
  3.30938026800765783E-01  5.15506927979932216E-05  2.95047504193068307E-05
  3.34166690476870809E-01  5.24072961038417106E-05  3.03489063488771363E-05
  3.37395354152975835E-01  5.32663479728243911E-05  3.12081842924055583E-05
  3.40624017829080916E-01  5.41276868606567626E-05  3.20826790806471855E-05
  3.43852681505185942E-01  5.49911500736581879E-05  3.29724841285343150E-05
  3.47081345181290968E-01  5.58565737798986296E-05  3.38776914246091847E-05
  3.50310008857395994E-01  5.67237930204306191E-05  3.47983915205386809E-05
  3.53538672533501019E-01  5.75926417206058737E-05  3.57346735207120353E-05
  3.56767336209606045E-01  5.84629527014755067E-05  3.66866250719214494E-05
  3.59995999885711071E-01  5.93345576912739577E-05  3.76543323531271587E-05
  3.63224663561816152E-01  6.02072873369855188E-05  3.86378800653068265E-05
  3.66453327237921123E-01  6.10809712159930094E-05  3.96373514213901908E-05
  3.69681990914026148E-01  6.19554378478081257E-05  4.06528281362797218E-05
  3.72910654590131230E-01  6.28305147058826307E-05  4.16843904169574464E-05
  3.76139318266236256E-01  6.37060282295000258E-05  4.27321169526790782E-05
  3.79367981942341281E-01  6.45818038357468232E-05  4.37960849052556291E-05
  3.82596645618446307E-01  6.54576659315631281E-05  4.48763698994234509E-05
  3.85825309294551333E-01  6.63334379258715404E-05  4.59730460133028499E-05
  3.89053972970656359E-01  6.72089422417841329E-05  4.70861857689465610E-05
  3.92282636646761385E-01  6.80840003288863668E-05  4.82158601229776957E-05
  3.95511300322866466E-01  6.89584326755979861E-05  4.93621384573187568E-05
  3.98739963998971492E-01  6.98320588216096838E-05  5.05250885700116441E-05
  4.01968627675076517E-01  7.07046973703951201E-05  5.17047766661293367E-05
  4.05197291351181543E-01  7.15761660017976017E-05  5.29012673487800302E-05
  4.08425955027286625E-01  7.24462814846909474E-05  5.41146236102041088E-05
  4.11654618703391650E-01  7.33148596897134565E-05  5.53449068229644068E-05
  4.14883282379496565E-01  7.41817156020749925E-05  5.65921767312307881E-05
  4.18111946055601646E-01  7.50466633344357598E-05  5.78564914421589635E-05
  4.21340609731706672E-01  7.59095161398566111E-05  5.91379074173644132E-05
  4.24569273407811698E-01  7.67700864248201120E-05  6.04364794644922200E-05
  4.27797937083916724E-01  7.76281857623216859E-05  6.17522607288826175E-05
  4.31026600760021805E-01  7.84836249050299987E-05  6.30853026853337302E-05
  4.34255264436126831E-01  7.93362137985162045E-05  6.44356551299611467E-05
  4.37483928112231857E-01  8.01857615945509390E-05  6.58033661721553345E-05
  4.40712591788336883E-01  8.10320766644689010E-05  6.71884822266374544E-05
  4.43941255464441964E-01  8.18749666125998806E-05  6.85910480056137065E-05
  4.47169919140546990E-01  8.27142382897659654E-05  7.00111065110292760E-05
  4.50398582816652016E-01  8.35496978068434319E-05  7.14486990269217663E-05
  4.53627246492756986E-01  8.43811505483896631E-05  7.29038651118748133E-05
  4.56855910168862012E-01  8.52084011863339652E-05  7.43766425915732215E-05
  4.60084573844967037E-01  8.60312536937306587E-05  7.58670675514583071E-05
  4.63313237521072119E-01  8.68495113585758121E-05  7.73751743294857398E-05
  4.66541901197177145E-01  8.76629767976843793E-05  7.89009955089853119E-05
  4.69770564873282170E-01  8.84714519706292446E-05  8.04445619116235993E-05
  4.72999228549387196E-01  8.92747381937398181E-05  8.20059025904693907E-05
  4.76227892225492278E-01  9.00726361541607086E-05  8.35850448231633899E-05
  4.79456555901597303E-01  9.08649459239686461E-05  8.51820141051913245E-05
  4.82685219577702329E-01  9.16514669743478152E-05  8.67968341432621943E-05
  4.85913883253807355E-01  9.24319981898221094E-05  8.84295268487910374E-05
  4.89142546929912325E-01  9.32063378825441702E-05  9.00801123314873243E-05
  4.92371210606017351E-01  9.39742838066405338E-05  9.17486088930496448E-05
  4.95599874282122432E-01  9.47356331726108660E-05  9.34350330209657385E-05
  4.98828537958227458E-01  9.54901826617826269E-05  9.51393993824202542E-05
  5.02057201634332539E-01  9.62377284408185227E-05  9.68617208183091683E-05
  5.05285865310437510E-01  9.69780661762770425E-05  9.86020083373618091E-05
  5.08514528986542591E-01  9.77109910492250509E-05  1.00360271110371099E-04
  5.11743192662647561E-01  9.84362977699013240E-05  1.02136516464531839E-04
  5.14971856338752643E-01  9.91537805924311652E-05  1.03930749877888289E-04
  5.18200520014857724E-01  9.98632333295901758E-05  1.05742974973890567E-04
  5.21429183690962694E-01  1.00564449367617276E-04  1.07573193516060782E-04
  5.24657847367067776E-01  1.01257221681075863E-04  1.09421405402768994E-04
  5.27886511043172746E-01  1.01941342847762365E-04  1.11287608662120034E-04
  5.31115174719277716E-01  1.02616605063661346E-04  1.13171799446950538E-04
  5.34343838395382797E-01  1.03282800157946566E-04  1.15073972029937051E-04
  5.37572502071487879E-01  1.03939719608027147E-04  1.16994118798816431E-04
  5.40801165747592849E-01  1.04587154554637500E-04  1.18932230251716855E-04
  5.44029829423697930E-01  1.05224895816971622E-04  1.20888294992602149E-04
  5.47258493099803012E-01  1.05852733907859333E-04  1.22862299726828240E-04
