#             freq. [MHz]    Abs(ampl) [arb.units]
 -1.53106194690265489E+05  2.18039273119217537E-25
 -1.53097345132743358E+05  1.61439515237431201E-25
 -1.53088495575221226E+05  1.18233530962439165E-24
 -1.53079646017699124E+05  3.84491737644133813E-24
 -1.53070796460176993E+05  7.02436822470013953E-24
 -1.53061946902654861E+05  9.76337157945469052E-24
 -1.53053097345132730E+05  1.12371492873612058E-23
 -1.53044247787610628E+05  1.10020200316546364E-23
 -1.53035398230088496E+05  9.12881974432650962E-24
 -1.53026548672566365E+05  6.18141616423670657E-24
 -1.53017699115044234E+05  3.04728224016825838E-24
 -1.53008849557522131E+05  6.70252920483243684E-25
 -1.53000000000000000E+05  2.33904012015233076E-25
 -1.52991150442477869E+05  6.07057034883612977E-25
 -1.52982300884955737E+05  2.94007730469489153E-24
 -1.52973451327433635E+05  6.06246468128005373E-24
 -1.52964601769911504E+05  9.03447307049106609E-24
 -1.52955752212389372E+05  1.09606994221889574E-23
 -1.52946902654867241E+05  1.12614827352642405E-23
 -1.52938053097345139E+05  9.84616127549417405E-24
 -1.52929203539823007E+05  7.14061766835225172E-24
 -1.52920353982300876E+05  3.96002286460689937E-24
 -1.52911504424778745E+05  1.26153765519681330E-24
 -1.52902654867256642E+05  1.41919869648927511E-25
 -1.52893805309734511E+05  1.72211794018719476E-25
 -1.52884955752212380E+05  2.10935733553010707E-24
 -1.52876106194690248E+05  5.08634970670951817E-24
 -1.52867256637168146E+05  8.20673141777637510E-24
 -1.52858407079646015E+05  1.05310574886355472E-23
 -1.52849557522123883E+05  1.13591961877153261E-23
 -1.52840707964601781E+05  1.04421019994224447E-23
 -1.52831858407079650E+05  8.05558395901488879E-24
 -1.52823008849557518E+05  4.91842924359135636E-24
 -1.52814159292035387E+05  1.97510907623395171E-24
 -1.52805309734513285E+05  1.12051611551674104E-25
 -1.52796460176991153E+05  1.09789143000185118E-25
 -1.52787610619469022E+05  1.37650150418939706E-24
 -1.52778761061946891E+05  4.12338269500061392E-24
 -1.52769911504424788E+05  7.30380711062466164E-24
 -1.52761061946902657E+05  9.96015809861393407E-24
 -1.52752212389380526E+05  1.12925092463637607E-23
 -1.52743362831858394E+05  1.08997263898266763E-23
 -1.52734513274336292E+05  8.89997527135274459E-24
 -1.52725663716814161E+05  5.89544040992618368E-24
 -1.52716814159292029E+05  2.79073497692968703E-24
 -1.52707964601769898E+05  5.20821800916771341E-25
 -1.52699115044247796E+05  2.30801478096098775E-25
 -1.52690265486725664E+05  7.62239492712491680E-25
 -1.52681415929203533E+05  3.20102875800593754E-24
 -1.52672566371681402E+05  6.35125100585600036E-24
 -1.52663716814159299E+05  9.26435758569305428E-24
 -1.52654867256637168E+05  1.10631734428174264E-23
 -1.52646017699115037E+05  1.12060814411131080E-23
 -1.52637168141592905E+05  9.64994556950855618E-24
 -1.52628318584070803E+05  6.86335341961110423E-24
 -1.52619469026548672E+05  3.68535137328842635E-24
 -1.52610619469026540E+05  1.07287154935052970E-24
 -1.52601769911504409E+05  1.87383773912615593E-25
 -1.52592920353982307E+05  2.84131191300177686E-25
 -1.52584070796460175E+05  2.34544628712258829E-24
 -1.52575221238938044E+05  5.37603011872650736E-24
 -1.52566371681415912E+05  8.46330168235301077E-24
 -1.52557522123893810E+05  1.06776849620631465E-23
 -1.52548672566371679E+05  1.13523835547426966E-23
 -1.52539823008849547E+05  1.02842167780543415E-23
 -1.52530973451327416E+05  7.79474614957941711E-24
 -1.52522123893805314E+05  4.63359425154998211E-24
 -1.52513274336283182E+05  1.75261178395330261E-24
 -1.52504424778761051E+05  1.93589982543092574E-26
 -1.52495575221238949E+05  4.42241332742871648E-26
 -1.52486725663716818E+05  1.58097319000900925E-24
 -1.52477876106194686E+05  4.40583743070401963E-24
 -1.52469026548672555E+05  7.57970699951056171E-24
 -1.52460176991150453E+05  1.01469121764377126E-23
 -1.52451327433628321E+05  1.13344832920132155E-23
 -1.52442477876106190E+05  1.07847126390184375E-23
 -1.52433628318584058E+05  8.66321225613310393E-24
 -1.52424778761061956E+05  5.60861356561565121E-24
 -1.52415929203539825E+05  2.54081507124287127E-24
 -1.52407079646017693E+05  3.83563192286686928E-25
 -1.52398230088495562E+05  2.13530859407749226E-25
 -1.52389380530973460E+05  9.29359093919615097E-25
 -1.52380530973451328E+05  3.46824813922557153E-24
 -1.52371681415929197E+05  6.63864187712909240E-24
 -1.52362831858407066E+05  9.48588883469424217E-24
 -1.52353982300884963E+05  1.11528493744340576E-23
 -1.52345132743362832E+05  1.11372721501212325E-23
 -1.52336283185840701E+05  9.44399551025574092E-24
 -1.52327433628318569E+05  6.58282029165974500E-24
 -1.52318584070796467E+05  3.41519449598049853E-24
 -1.52309734513274336E+05  8.95036137842500761E-25
 -1.52300884955752204E+05  2.18869397310279995E-25
 -1.52292035398230073E+05  4.09155459879386791E-25
 -1.52283185840707971E+05  2.58983565323793434E-24
 -1.52274336283185839E+05  5.66674635713885646E-24
 -1.52265486725663708E+05  8.71349794519485794E-24
 -1.52256637168141577E+05  1.08124915797113775E-23
 -1.52247787610619474E+05  1.13318420261502393E-23
 -1.52238938053097343E+05  1.01150407648532525E-23
 -1.52230088495575212E+05  7.52847650670575569E-24
 -1.52221238938053080E+05  4.35097556189526363E-24
 -1.52212389380530978E+05  1.53929905493817499E-24
 -1.52203539823008847E+05  5.98987323459267700E-26
 -1.52194690265486715E+05  3.50657645687244578E-26
 -1.52185840707964613E+05  1.79559477705198682E-24
 -1.52176991150442482E+05  4.69170822481578706E-24
 -1.52168141592920350E+05  7.85136222940399454E-24
 -1.52159292035398219E+05  1.03231580600262685E-23
 -1.52150442477876117E+05  1.13628444574803135E-23
 -1.52141592920353985E+05  1.06572687281240642E-23
 -1.52132743362831854E+05  8.41885729949311418E-24
 -1.52123893805309723E+05  5.32164059307975641E-24
 -1.52115044247787620E+05  2.29813478704108533E-24
 -1.52106194690265489E+05  2.58853035754372045E-25
 -1.52097345132743358E+05  1.82083819677382051E-25
 -1.52088495575221226E+05  1.10811585253691559E-24
 -1.52079646017699124E+05  3.74107427087272592E-24
 -1.52070796460176993E+05  6.92407011309769431E-24
 -1.52061946902654861E+05  9.69866466772067808E-24
 -1.52053097345132730E+05  1.12293717813555408E-23
 -1.52044247787610628E+05  1.10552351089985053E-23
 -1.52035398230088496E+05  9.22872836961336714E-24
 -1.52026548672566365E+05  6.29977418412707843E-24
 -1.52017699115044234E+05  3.15017580712619944E-24
 -1.52008849557522131E+05  7.28362043524062980E-25
 -1.52000000000000000E+05  2.36240307230138402E-25
 -1.51991150442477869E+05  5.46908970560429527E-25
 -1.51982300884955737E+05  2.84197790533242137E-24
 -1.51973451327433635E+05  5.95793454144650319E-24
 -1.51964601769911504E+05  8.95662865280098931E-24
 -1.51955752212389372E+05  1.09351557556790585E-23
 -1.51946902654867241E+05  1.12976773139489615E-23
 -1.51938053097345139E+05  9.93499911179526471E-24
 -1.51929203539823007E+05  7.25738893159461836E-24
 -1.51920353982300876E+05  4.07110809035335369E-24
 -1.51911504424778745E+05  1.33559401346899405E-24
